"gender","age","edu","t_org","sd","X","M","W","Y","MW","XW","XM"
1,13.5597345132743,1.17477876106195,-0.376106194690265,3.3,-0.642146017699115,0.170907079646017,-1.85398230088496,1.83333333333333,-0.316858700759652,1.19052735139792,-0.109747300591276
0,-0.440265486725664,-0.825221238938053,-1.37610619469027,3.7,-0.267146017699115,0.920907079646017,0.43173198482933,1,0.397585041338957,-0.11533548046049,-0.246016658998355
1,-11.4402654867257,1.17477876106195,-0.376106194690265,3.3,-1.01714601769911,0.670907079646017,1.28887484197219,1,0.864715256256782,-1.31097391282459,-0.68241046430809
0,28.5597345132743,1.17477876106195,2.62389380530973,5,-0.767146017699115,-1.32909292035398,0.288874841972187,1,-0.383941507333609,-0.221609184632424,1.01960834100164
1,-10.4402654867257,1.17477876106195,-1.37610619469027,3.8,2.10785398230089,0.670907079646017,1.0031605562579,4.5,0.673027519215063,2.11451597339539,1.41417415958571
1,-11.4402654867257,1.17477876106195,0.623893805309735,2.4,1.23285398230089,0.420907079646017,0.288874841972187,1.66666666666667,0.121589466117718,0.35614049931195,0.518916969320228
1,1.55973451327434,-0.825221238938053,0.623893805309735,3.6,0.357853982300885,-1.82909292035398,1.14601769911504,1,-2.09617286005169,0.410106997415616,-0.654548185547028
0,-16.4402654867257,1.17477876106195,-0.376106194690265,3.1,0.982853982300885,0.420907079646017,-0.282553729456385,3.83333333333333,-0.118928865108578,-0.277709058210175,0.413690199408724
0,-6.44026548672566,2.17477876106195,2.62389380530973,3.6,1.23285398230089,0.670907079646017,0.288874841972187,2.66666666666667,0.193808176610765,0.35614049931195,0.82713046489545
1,-21.4402654867257,1.17477876106195,-1.37610619469027,1.7,-0.267146017699115,-1.32909292035398,0.00316055625790135,1.5,-0.00420067294675716,-0.000844330018012362,0.355061880824653
0,-10.4402654867257,1.17477876106195,-0.376106194690265,3.6,1.10785398230089,0.920907079646017,0.717446270543616,1.66666666666667,0.660701349809248,0.794825707908663,1.02023057551492
1,4.55973451327434,-1.82522123893805,2.62389380530973,4,1.73285398230089,0.920907079646017,-2.42541087231353,4.33333333333333,-2.23357804336395,-4.20288288880436,1.59579750029368
1,3.55973451327434,-0.825221238938053,2.62389380530973,3,1.23285398230089,0.670907079646017,0.288874841972187,1,0.193808176610765,0.35614049931195,0.82713046489545
1,9.55973451327434,-0.825221238938053,2.62389380530973,3.5,0.482853982300885,0.170907079646017,-1.28255372945638,2.33333333333333,-0.219197512390499,-0.619286175782867,0.0825231640104941
0,3.55973451327434,1.17477876106195,-0.376106194690265,3.4,-1.14214601769911,-0.329092920353983,0.288874841972187,3.16666666666667,-0.0950666653614222,-0.329937250371994,0.375872168435273
0,3.55973451327434,-0.825221238938053,2.62389380530973,3.3,-0.517146017699115,-0.329092920353983,0.00316055625790135,1.83333333333333,-0.00104011668885581,-0.0016344690824877,0.170189093214034
1,2.55973451327434,-1.82522123893805,-1.37610619469027,3.9,-0.0171460176991149,-1.32909292035398,0.717446270543616,1,-0.953552758913888,-0.0123013464529048,0.0227886507361578
0,-0.440265486725664,-0.825221238938053,0.623893805309735,4.1,-0.767146017699115,-0.579092920353983,-1.28255372945638,1.5,0.742717784701789,0.983905986037614,0.444248827727308
0,-6.44026548672566,1.17477876106195,-1.37610619469027,3.2,-0.267146017699115,0.670907079646017,0.288874841972187,2,0.193808176610765,-0.0771717636463309,-0.179230154573576
0,8.55973451327434,2.17477876106195,-1.37610619469027,3.2,-0.0171460176991149,0.420907079646017,1.0031605562579,1.66666666666667,0.422237380150588,-0.017200208652652,-0.0072168802372934
0,-2.44026548672566,0.174778761061947,2.62389380530973,4.7,-0.0171460176991149,-1.32909292035398,0.288874841972187,1.33333333333333,-0.383941507333609,-0.00495305315328415,0.0227886507361578
1,8.55973451327434,0.174778761061947,0.623893805309735,2.8,-0.267146017699115,-0.829092920353983,-0.425410872313527,2.33333333333333,0.352705142476758,0.113646820424466,0.221488871975096
0,16.5597345132743,2.17477876106195,2.62389380530973,3.5,-0.642146017699115,-1.32909292035398,-0.282553729456385,2.16666666666667,0.375540161440095,0.181440752156451,0.853471725957397
1,-18.4402654867257,-0.825221238938053,-1.37610619469027,3.2,1.23285398230089,0.420907079646017,0.43173198482933,3,0.181719048924292,0.532262496783505,0.518916969320228
0,5.55973451327434,-0.825221238938053,-1.37610619469027,3.3,-0.517146017699115,-0.829092920353983,0.288874841972187,1.5,-0.239504086347516,-0.149390474139378,0.428762102063592
0,11.5597345132743,-0.825221238938053,2.62389380530973,4.4,-1.01714601769911,-0.829092920353983,0.574589127686473,1,-0.476387777877225,-0.584441043039504,0.843308562240583
1,4.55973451327434,-0.825221238938053,-1.37610619469027,3.2,-0.267146017699115,0.670907079646017,0.288874841972187,1.83333333333333,0.193808176610765,-0.0771717636463309,-0.179230154573576
